Trial,Model,Accuracy,Precision,Recall,F1-score,ROC AUC
5,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
5,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
5,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
5,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
5,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
6,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
6,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
6,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
6,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
6,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
7,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
7,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
7,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
7,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
7,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
8,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
8,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
8,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
8,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
8,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
9,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
9,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
9,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
9,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
9,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
10,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
10,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
10,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
