Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Trial
Logistic Regression,0.9253,0.9543,0.9599,0.953,0.9563,0.698,0.7008,0.266,7
K Neighbors Classifier,0.9246,0.9385,0.9615,0.9508,0.9561,0.6901,0.6923,0.202,7
Ada Boost Classifier,0.9156,0.9346,0.9648,0.9381,0.9512,0.6395,0.6454,0.603,7
SVM - Linear Kernel,0.9142,0.946,0.9468,0.9531,0.9494,0.6628,0.6703,0.219,7
Decision Tree Classifier,0.9107,0.8224,0.9476,0.9479,0.9475,0.6447,0.6486,0.231,7
Ridge Classifier,0.8995,0.8818,0.9305,0.9509,0.9403,0.6216,0.6259,0.195,7
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.176,7
Naive Bayes,0.8249,0.7898,0.8601,0.9297,0.8929,0.4099,0.4216,0.185,7
Linear Discriminant Analysis,0.8053,0.7775,0.8314,0.9331,0.879,0.3867,0.405,0.562,7
Quadratic Discriminant Analysis,0.3482,0.7817,0.2414,0.9756,0.3817,0.0757,0.1798,0.627,7
Random Forest Classifier,0.9288,0.9661,0.973,0.9456,0.9589,0.6912,0.7003,0.37,8
Extra Trees Classifier,0.9253,0.9439,0.9657,0.9482,0.9566,0.6885,0.6959,0.334,8
K Neighbors Classifier,0.9247,0.9493,0.9616,0.9512,0.9561,0.6891,0.6953,0.184,8
Gradient Boosting Classifier,0.924,0.9679,0.9673,0.9454,0.956,0.6746,0.6821,2.327,8
Logistic Regression,0.9225,0.9559,0.9632,0.9473,0.9549,0.6776,0.6838,0.204,8
Ada Boost Classifier,0.9198,0.954,0.9624,0.945,0.9534,0.662,0.6673,0.608,8
SVM - Linear Kernel,0.9135,0.9468,0.9509,0.949,0.9491,0.6503,0.6637,0.21,8
Decision Tree Classifier,0.903,0.8162,0.9395,0.9465,0.9428,0.6229,0.6255,0.224,8
Ridge Classifier,0.8988,0.874,0.9296,0.951,0.9399,0.6172,0.6222,0.186,8
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.141,8
Naive Bayes,0.8178,0.8064,0.8478,0.933,0.888,0.4032,0.4183,0.175,8
Linear Discriminant Analysis,0.8115,0.7685,0.8388,0.9339,0.8834,0.3963,0.4135,0.599,8
Quadratic Discriminant Analysis,0.4159,0.8116,0.3191,0.9877,0.4795,0.114,0.2347,0.609,8
Gradient Boosting Classifier,0.9267,0.9532,0.9738,0.9425,0.9578,0.68,0.6889,2.311,9
Extra Trees Classifier,0.9239,0.9143,0.9689,0.9438,0.956,0.6719,0.6794,0.41,9
Random Forest Classifier,0.9225,0.9385,0.9697,0.9416,0.9553,0.6635,0.6734,0.288,9
K Neighbors Classifier,0.9177,0.9263,0.9648,0.9406,0.9523,0.6471,0.6551,0.169,9
Ada Boost Classifier,0.9142,0.9136,0.964,0.9374,0.9503,0.6325,0.6407,0.521,9
Logistic Regression,0.9134,0.9404,0.9566,0.9431,0.9496,0.6405,0.6476,0.218,9
SVM - Linear Kernel,0.9121,0.936,0.9484,0.9495,0.9483,0.6471,0.6584,0.196,9
Ridge Classifier,0.8856,0.8564,0.9198,0.9449,0.9319,0.5707,0.5758,0.166,9
Decision Tree Classifier,0.8814,0.7748,0.9264,0.9343,0.9301,0.5369,0.5403,0.229,9
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.165,9
Linear Discriminant Analysis,0.8256,0.7871,0.8544,0.9357,0.8931,0.4246,0.4384,0.51,9
Naive Bayes,0.8109,0.7915,0.8388,0.933,0.8832,0.3917,0.4085,0.179,9
Quadratic Discriminant Analysis,0.4906,0.8054,0.4125,0.977,0.5788,0.1501,0.263,0.559,9
Logistic Regression,0.9295,0.9405,0.9648,0.9533,0.9589,0.7108,0.7142,0.242,10
Random Forest Classifier,0.9267,0.948,0.9763,0.9404,0.9579,0.6756,0.6857,0.279,10
Extra Trees Classifier,0.9267,0.9413,0.9697,0.946,0.9575,0.6887,0.6949,0.387,10
K Neighbors Classifier,0.9232,0.9317,0.9574,0.953,0.9551,0.6905,0.693,0.17,10
Gradient Boosting Classifier,0.9232,0.9581,0.9664,0.9451,0.9555,0.6754,0.6818,2.361,10
Ada Boost Classifier,0.9177,0.932,0.964,0.9411,0.9522,0.6527,0.6601,0.523,10
SVM - Linear Kernel,0.9121,0.9358,0.9525,0.9457,0.9486,0.6369,0.6476,0.22,10
Decision Tree Classifier,0.9058,0.8091,0.946,0.9442,0.9447,0.6212,0.6259,0.22,10
Ridge Classifier,0.8932,0.8812,0.9296,0.9446,0.9368,0.5906,0.5939,0.201,10
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.167,10
Naive Bayes,0.822,0.7915,0.8543,0.9321,0.8906,0.4093,0.4235,0.179,10
Linear Discriminant Analysis,0.8192,0.7853,0.8428,0.9389,0.8878,0.4257,0.4434,0.509,10
Quadratic Discriminant Analysis,0.4166,0.8012,0.3225,0.9789,0.4823,0.1107,0.2239,0.557,10
Random Forest Classifier,0.9268,0.9605,0.9771,0.9397,0.9579,0.6757,0.6866,0.344,11
Extra Trees Classifier,0.9247,0.9418,0.9747,0.9395,0.9566,0.6699,0.6801,0.376,11
Gradient Boosting Classifier,0.924,0.9611,0.9722,0.9409,0.9561,0.6698,0.6794,2.198,11
K Neighbors Classifier,0.924,0.9365,0.9706,0.9423,0.9561,0.6706,0.6775,0.158,11
Logistic Regression,0.9219,0.9447,0.9681,0.9422,0.9548,0.6649,0.6715,0.199,11
SVM - Linear Kernel,0.9177,0.9387,0.9591,0.9461,0.9519,0.6564,0.6683,0.17,11
Ada Boost Classifier,0.9135,0.9486,0.9681,0.9333,0.9502,0.6191,0.6307,0.534,11
Ridge Classifier,0.8932,0.8596,0.9337,0.9411,0.9371,0.5812,0.5855,0.171,11
Decision Tree Classifier,0.8898,0.7725,0.9395,0.932,0.9355,0.5534,0.5562,0.192,11
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.158,11
Linear Discriminant Analysis,0.8283,0.7923,0.8568,0.9368,0.8948,0.4311,0.4451,0.494,11
Naive Bayes,0.8137,0.8048,0.8404,0.9357,0.8843,0.4022,0.4224,0.141,11
