Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Trial
Decision Tree Classifier,0.8877,0.7916,0.928,0.9397,0.9337,0.5642,0.5655,0.103,12
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.07,12
Naive Bayes,0.8297,0.7331,0.8699,0.9264,0.8969,0.4066,0.4152,0.075,12
Linear Discriminant Analysis,0.7034,0.6268,0.7127,0.9223,0.8031,0.2349,0.2717,0.406,12
Quadratic Discriminant Analysis,0.5966,0.7868,0.5499,0.9602,0.698,0.208,0.2969,0.325,12
Extra Trees Classifier,0.9316,0.9467,0.9763,0.9455,0.9605,0.7046,0.7126,0.255,13
Random Forest Classifier,0.9275,0.9469,0.9812,0.9369,0.9584,0.6737,0.6874,0.187,13
Gradient Boosting Classifier,0.9247,0.9431,0.982,0.9334,0.957,0.6543,0.6713,0.551,13
Logistic Regression,0.9247,0.9488,0.9689,0.9445,0.9564,0.6785,0.6847,0.085,13
Ada Boost Classifier,0.9233,0.9069,0.9763,0.9368,0.956,0.6553,0.6682,0.278,13
SVM - Linear Kernel,0.9226,0.9403,0.9623,0.9481,0.9549,0.678,0.6862,0.09,13
Ridge Classifier,0.9218,0.9311,0.9632,0.9464,0.9546,0.6735,0.6782,0.1,13
K Neighbors Classifier,0.9191,0.9349,0.9648,0.9421,0.9531,0.6555,0.6614,0.086,13
Decision Tree Classifier,0.9121,0.8198,0.9509,0.9465,0.9485,0.6462,0.6501,0.098,13
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.092,13
Naive Bayes,0.7837,0.7045,0.8167,0.9212,0.8652,0.3211,0.3382,0.081,13
Linear Discriminant Analysis,0.7119,0.6094,0.7341,0.9109,0.8122,0.2179,0.2438,0.395,13
Quadratic Discriminant Analysis,0.635,0.8214,0.5957,0.962,0.7344,0.242,0.3271,0.331,13
Logistic Regression,0.9267,0.9507,0.9697,0.9464,0.9577,0.68,0.6884,0.087,14
K Neighbors Classifier,0.9253,0.9267,0.9713,0.9434,0.957,0.6719,0.6801,0.079,14
Extra Trees Classifier,0.9253,0.9114,0.9738,0.9412,0.957,0.668,0.6784,0.275,14
