Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Trial
Random Forest Classifier,0.9309,0.959,0.9795,0.9419,0.9603,0.6952,0.7057,0.361,9
Extra Trees Classifier,0.9267,0.9447,0.9705,0.945,0.9576,0.6894,0.6946,0.381,9
K Neighbors Classifier,0.926,0.9364,0.9607,0.953,0.9567,0.7008,0.7035,0.197,9
Logistic Regression,0.9247,0.9403,0.9656,0.9471,0.9562,0.6863,0.6908,0.255,9
Gradient Boosting Classifier,0.9232,0.9498,0.973,0.9392,0.9558,0.6658,0.6739,1.669,9
Ada Boost Classifier,0.9121,0.9231,0.9648,0.9344,0.9493,0.6183,0.6231,0.588,9
SVM - Linear Kernel,0.903,0.9278,0.9362,0.9499,0.9427,0.6247,0.6294,0.204,9
Decision Tree Classifier,0.8933,0.807,0.9296,0.9445,0.9369,0.5908,0.5929,0.226,9
Ridge Classifier,0.88,0.8826,0.9125,0.9451,0.9283,0.5592,0.564,0.24,9
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.169,9
Linear Discriminant Analysis,0.7774,0.7788,0.7995,0.9301,0.8595,0.3359,0.3607,0.938,9
Naive Bayes,0.4549,0.6276,0.383,0.9449,0.543,0.1065,0.1903,0.188,9
Quadratic Discriminant Analysis,0.2491,0.6643,0.1235,0.9619,0.2165,0.0327,0.1105,0.666,9
Extra Trees Classifier,0.9288,0.9502,0.9697,0.9484,0.9588,0.6968,0.7015,0.379,10
Random Forest Classifier,0.9232,0.9562,0.9697,0.9423,0.9557,0.6676,0.6738,0.357,10
Gradient Boosting Classifier,0.9198,0.9488,0.9681,0.9398,0.9536,0.6548,0.6615,1.628,10
SVM - Linear Kernel,0.9191,0.9244,0.9517,0.9536,0.9525,0.6791,0.6826,0.23,10
K Neighbors Classifier,0.9191,0.9177,0.964,0.9428,0.9531,0.6563,0.6617,0.2,10
Logistic Regression,0.9184,0.9335,0.9583,0.9469,0.9524,0.6651,0.6688,0.198,10
Ada Boost Classifier,0.9114,0.9227,0.9607,0.9373,0.9487,0.6225,0.6294,0.608,10
Decision Tree Classifier,0.8912,0.8009,0.9288,0.9429,0.9356,0.5826,0.5856,0.225,10
Ridge Classifier,0.8758,0.8569,0.9092,0.9434,0.9258,0.5433,0.5477,0.239,10
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.174,10
Linear Discriminant Analysis,0.7781,0.7599,0.802,0.9281,0.8603,0.3347,0.3569,0.945,10
Naive Bayes,0.4955,0.6116,0.4468,0.9231,0.6011,0.099,0.1619,0.186,10
Quadratic Discriminant Analysis,0.2261,0.6841,0.0933,0.9909,0.169,0.0282,0.114,0.735,10
Random Forest Classifier,0.9281,0.9502,0.9771,0.941,0.9586,0.6855,0.6973,0.363,11
Extra Trees Classifier,0.9254,0.9381,0.9689,0.945,0.9567,0.6859,0.6932,0.371,11
K Neighbors Classifier,0.9219,0.9114,0.964,0.9455,0.9545,0.6749,0.6799,0.204,11
Logistic Regression,0.9211,0.9418,0.9656,0.9434,0.9543,0.6675,0.6733,0.228,11
Gradient Boosting Classifier,0.9191,0.9389,0.9697,0.9378,0.9534,0.6453,0.6539,1.602,11
SVM - Linear Kernel,0.9065,0.921,0.955,0.9366,0.9454,0.6146,0.6218,0.216,11
Ada Boost Classifier,0.9037,0.9171,0.9648,0.9256,0.9447,0.5711,0.5805,0.583,11
Ridge Classifier,0.894,0.8971,0.9231,0.9512,0.9367,0.6075,0.6122,0.244,11
Decision Tree Classifier,0.8737,0.7555,0.9231,0.9288,0.9257,0.5024,0.5052,0.229,11
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.167,11
Linear Discriminant Analysis,0.7921,0.7971,0.8176,0.9302,0.8701,0.359,0.3789,0.899,11
Naive Bayes,0.3999,0.5985,0.32,0.932,0.4758,0.0708,0.1426,0.198,11
Quadratic Discriminant Analysis,0.2429,0.7034,0.1162,0.9602,0.2043,0.0306,0.1042,0.743,11
K Neighbors Classifier,0.9274,0.9316,0.9722,0.9445,0.9581,0.6875,0.693,0.161,12
Extra Trees Classifier,0.9274,0.9426,0.9755,0.9418,0.9582,0.681,0.691,0.406,12
Random Forest Classifier,0.9226,0.9488,0.9787,0.9339,0.9557,0.6492,0.6648,0.345,12
Logistic Regression,0.9135,0.9368,0.9632,0.9372,0.95,0.6306,0.635,0.189,12
Gradient Boosting Classifier,0.9128,0.9391,0.973,0.9285,0.9501,0.6045,0.6183,1.645,12
SVM - Linear Kernel,0.903,0.9224,0.9607,0.9282,0.9441,0.5782,0.5864,0.193,12
Ada Boost Classifier,0.8974,0.9059,0.9583,0.9247,0.941,0.5471,0.5559,0.567,12
Decision Tree Classifier,0.8926,0.8003,0.9313,0.9423,0.9365,0.5836,0.5863,0.235,12
Ridge Classifier,0.8674,0.8637,0.9026,0.9401,0.9207,0.5154,0.522,0.242,12
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.17,12
Linear Discriminant Analysis,0.7746,0.7484,0.8069,0.9191,0.8591,0.3056,0.323,0.908,12
Naive Bayes,0.3775,0.5627,0.3003,0.9128,0.4491,0.0478,0.1008,0.206,12
Quadratic Discriminant Analysis,0.2352,0.6446,0.1072,0.9677,0.192,0.0268,0.102,0.689,12
Extra Trees Classifier,0.9253,0.9356,0.9689,0.9452,0.9568,0.6802,0.6849,0.379,13
Random Forest Classifier,0.9239,0.9502,0.9738,0.9395,0.9563,0.6644,0.6719,0.36,13
Gradient Boosting Classifier,0.9239,0.9497,0.9754,0.9384,0.9564,0.6577,0.6689,1.624,13
K Neighbors Classifier,0.9191,0.9368,0.9583,0.9477,0.9529,0.6659,0.6685,0.213,13
Logistic Regression,0.9135,0.937,0.9542,0.9451,0.9495,0.6467,0.6506,0.209,13
SVM - Linear Kernel,0.9135,0.9263,0.9624,0.9386,0.95,0.6247,0.6342,0.218,13
Ada Boost Classifier,0.9128,0.9324,0.9632,0.9366,0.9496,0.6249,0.6324,0.608,13
Decision Tree Classifier,0.8904,0.7869,0.9337,0.9378,0.9356,0.5658,0.5668,0.224,13
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.178,13
Ridge Classifier,0.8507,0.8382,0.8871,0.935,0.9101,0.4678,0.4757,0.227,13
Linear Discriminant Analysis,0.7592,0.7383,0.7823,0.9242,0.8471,0.2963,0.3217,0.885,13
Naive Bayes,0.5157,0.6491,0.4599,0.9453,0.6178,0.1327,0.2156,0.188,13
Quadratic Discriminant Analysis,0.2408,0.6376,0.1154,0.9565,0.2037,0.0268,0.096,0.757,13
Extra Trees Classifier,0.9274,0.9387,0.9747,0.9426,0.9582,0.6819,0.6931,0.376,14
Random Forest Classifier,0.9267,0.9492,0.9812,0.9364,0.9581,0.666,0.6856,0.357,14
K Neighbors Classifier,0.9191,0.9201,0.9616,0.945,0.953,0.6599,0.6665,0.209,14
Gradient Boosting Classifier,0.917,0.9394,0.9738,0.9321,0.9523,0.6292,0.6444,1.616,14
