molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL160667,8800.0,nM,O=C(O)c1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)cc2)cc1,5.055517327849831
CHEMBL347658,580.0,nM,O=C(O)[C@@H](Cc1ccccc1)NS(=O)(=O)c1ccc(-c2nnn(-c3ccccc3)n2)cc1,6.236572006437063
CHEMBL350674,23.0,nM,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(C#Cc2ccc([N+](=O)[O-])cc2)s1,7.638272163982407
CHEMBL49411,240.0,nM,O=C(O)[C@@H](Cc1ccccc1)NS(=O)(=O)c1ccc(-c2ccccc2)cc1,6.619788758288394
CHEMBL100805,25.0,nM,O=C(NO)C(CCn1c(=O)[nH]c2ccccc2c1=O)COc1ccc(-c2ccccc2)cc1,7.6020599913279625
CHEMBL288750,110.0,nM,CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2nnn(-c3ccccc3)n2)cc1)C(=O)O,6.958607314841775
CHEMBL347847,1320.0,nM,O=C(O)[C@@H](Cc1ccccc1)NS(=O)(=O)c1ccc(-c2nnn(-c3ccc(C4CCCCC4)cc3)n2)cc1,5.8794260687941495
CHEMBL160969,16.0,nM,Cc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)cc2)cc1,7.795880017344075
CHEMBL323148,199.0,nM,CN1C(=O)N(CCC(COc2ccc(-c3ccccc3)cc2)C(=O)NO)C(=O)C1(C)C,6.701146923590294
CHEMBL323371,1.0,nM,O=C(NO)C(CCn1nnc2ccccc2c1=O)COc1ccc(-c2ccccc2)cc1,9.0
CHEMBL346118,30.0,nM,O=C(NO)[C@@H](Cc1ccccc1)NS(=O)(=O)c1ccc(-c2ccccc2)cc1,7.522878745280337
CHEMBL160465,680.0,nM,O=C(Nc1ccc(S(=O)(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)O)cc1)c1ccccc1,6.167491087293763
CHEMBL157289,1500.0,nM,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(C#Cc2ccccc2[N+](=O)[O-])s1,5.823908740944319
CHEMBL348088,86.0,nM,Cc1ccc(-n2nnc(-c3ccc(S(=O)(=O)N[C@H](Cc4ccccc4)C(=O)O)cc3)n2)cc1,7.0655015487564325
