trial,dataset,accuracy,model_path,shap_path,shap_plot_path
18,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial18.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial18.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial18.png
19,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial19.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial19.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial19.png
20,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial20.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial20.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial20.png
21,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial21.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial21.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial21.png
22,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial22.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial22.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial22.png
23,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial23.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial23.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial23.png
24,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial24.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial24.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial24.png
25,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial25.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial25.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial25.png
26,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial26.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial26.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial26.png
27,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial27.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial27.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial27.png
28,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial28.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial28.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial28.png
29,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial29.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial29.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial29.png
30,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial30.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial30.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial30.png
31,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial31.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial31.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial31.png
32,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial32.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial32.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial32.png
33,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial33.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial33.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial33.png
34,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial34.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial34.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial34.png
35,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial35.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial35.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial35.png
36,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial36.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial36.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial36.png
37,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial37.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial37.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial37.png
38,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial38.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial38.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial38.png
39,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial39.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial39.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial39.png
40,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial40.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial40.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial40.png
