Trial,Model,Accuracy,Precision,Recall,F1-score,ROC AUC
31,Logistic Regression,0.9146341463414634,0.8144125574758205,0.8094569288389513,0.8119044186076995,0.9386704119850189
31,Random Forest,0.9195121951219513,0.8378995433789954,0.788701622971286,0.8104484512251502,0.9547440699126092
31,SVM,0.9073170731707317,0.794817789968652,0.8130982105701208,0.8035209846650524,0.9147419891801913
31,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
31,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
32,Logistic Regression,0.9146341463414634,0.8144125574758205,0.8094569288389513,0.8119044186076995,0.9386704119850189
32,Random Forest,0.9195121951219513,0.8378995433789954,0.788701622971286,0.8104484512251502,0.9547440699126092
32,SVM,0.9073170731707317,0.794817789968652,0.8130982105701208,0.8035209846650524,0.9147419891801913
32,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
32,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
33,Logistic Regression,0.9146341463414634,0.8144125574758205,0.8094569288389513,0.8119044186076995,0.9386704119850189
33,Random Forest,0.9195121951219513,0.8378995433789954,0.788701622971286,0.8104484512251502,0.9547440699126092
33,SVM,0.9073170731707317,0.794817789968652,0.8130982105701208,0.8035209846650524,0.9147419891801913
33,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
33,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
34,Logistic Regression,0.9146341463414634,0.8144125574758205,0.8094569288389513,0.8119044186076995,0.9386704119850189
34,Random Forest,0.9195121951219513,0.8378995433789954,0.788701622971286,0.8104484512251502,0.9547440699126092
34,SVM,0.9073170731707317,0.794817789968652,0.8130982105701208,0.8035209846650524,0.9147419891801913
34,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
34,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
35,Logistic Regression,0.9146341463414634,0.8144125574758205,0.8094569288389513,0.8119044186076995,0.9386704119850189
35,Random Forest,0.9195121951219513,0.8378995433789954,0.788701622971286,0.8104484512251502,0.9547440699126092
35,SVM,0.9073170731707317,0.794817789968652,0.8130982105701208,0.8035209846650524,0.9147419891801913
35,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
35,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
