model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,run_number,eval_root_mean_squared_error,eval_mean_squared_error,eval_mean_absolute_error,eval_r2,eval_pearsonr,eval_median_absolute_error
LightGBMXT,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.019245147705078125,0.010168790817260742,1.7836987972259521,0.019245147705078125,0.010168790817260742,1.7836987972259521,1,True,1,9,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBM,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.019970178604125977,0.007838249206542969,1.3636746406555176,0.019970178604125977,0.007838249206542969,1.3636746406555176,1,True,2,9,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
RandomForestMSE,-0.90730212772414,-0.8631509685127721,root_mean_squared_error,0.23700189590454102,0.06747174263000488,20.73349142074585,0.23700189590454102,0.06747174263000488,20.73349142074585,1,True,3,9,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
ExtraTreesMSE,-0.9114337318902028,-0.8640229909818908,root_mean_squared_error,0.21756577491760254,0.0454106330871582,19.183058261871338,0.21756577491760254,0.0454106330871582,19.183058261871338,1,True,5,9,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
XGBoost,-0.9342759638327627,-0.8749536470897941,root_mean_squared_error,0.03649544715881348,0.009104251861572266,5.63282036781311,0.03649544715881348,0.009104251861572266,5.63282036781311,1,True,7,9,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMLarge,-0.9570056973598137,-0.9059712574820993,root_mean_squared_error,0.026509761810302734,0.011103630065917969,4.656575441360474,0.026509761810302734,0.011103630065917969,4.656575441360474,1,True,9,9,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
WeightedEnsemble_L2,-0.8736147291252179,-0.7976243224088978,root_mean_squared_error,0.0943603515625,0.05963444709777832,57.17833995819092,0.003035306930541992,0.0002837181091308594,0.0059947967529296875,2,True,10,10,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetFastAI,-0.8909954439271287,-0.848875800394877,root_mean_squared_error,0.03609013557434082,0.022258996963500977,4.079287052154541,0.03609013557434082,0.022258996963500977,4.079287052154541,1,True,6,10,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetTorch,-0.8931560298608999,-0.8289385372676497,root_mean_squared_error,0.018961191177368164,0.007677555084228516,6.658218622207642,0.018961191177368164,0.007677555084228516,6.658218622207642,1,True,8,10,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
CatBoost,-0.8991998097114818,-0.8196499631389951,root_mean_squared_error,0.05629682540893555,0.0433804988861084,49.21478509902954,0.05629682540893555,0.0433804988861084,49.21478509902954,1,True,4,10,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBM,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.015862703323364258,0.007542848587036133,1.251452922821045,0.015862703323364258,0.007542848587036133,1.251452922821045,1,True,2,10,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMXT,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.016067028045654297,0.008292675018310547,1.2993414402008057,0.016067028045654297,0.008292675018310547,1.2993414402008057,1,True,1,10,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
RandomForestMSE,-0.90730212772414,-0.8631509685127721,root_mean_squared_error,0.20873260498046875,0.0568697452545166,20.597386598587036,0.20873260498046875,0.0568697452545166,20.597386598587036,1,True,3,10,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
ExtraTreesMSE,-0.9114337318902028,-0.8640229909818908,root_mean_squared_error,0.23483824729919434,0.08136343955993652,19.2566339969635,0.23483824729919434,0.08136343955993652,19.2566339969635,1,True,5,10,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
XGBoost,-0.9342759638327627,-0.8749536470897941,root_mean_squared_error,0.029872655868530273,0.00923776626586914,5.685102939605713,0.029872655868530273,0.00923776626586914,5.685102939605713,1,True,7,10,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMLarge,-0.9570056973598137,-0.9059712574820993,root_mean_squared_error,0.036391258239746094,0.008607864379882812,3.8551268577575684,0.036391258239746094,0.008607864379882812,3.8551268577575684,1,True,9,10,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
WeightedEnsemble_L2,-0.8736147291252179,-0.7976243224088978,root_mean_squared_error,0.10658383369445801,0.05629372596740723,58.39781355857849,0.002448558807373047,0.0003972053527832031,0.006532430648803711,2,True,10,11,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetFastAI,-0.8909954439271287,-0.848875800394877,root_mean_squared_error,0.03918719291687012,0.019219160079956055,4.082128286361694,0.03918719291687012,0.019219160079956055,4.082128286361694,1,True,6,11,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetTorch,-0.8931560298608999,-0.8289385372676497,root_mean_squared_error,0.03361320495605469,0.0075604915618896484,6.964268207550049,0.03361320495605469,0.0075604915618896484,6.964268207550049,1,True,8,11,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
CatBoost,-0.8991998097114818,-0.8196499631389951,root_mean_squared_error,0.05410027503967285,0.0409698486328125,50.14974784851074,0.05410027503967285,0.0409698486328125,50.14974784851074,1,True,4,11,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBM,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.01600956916809082,0.007680654525756836,1.3633086681365967,0.01600956916809082,0.007680654525756836,1.3633086681365967,1,True,2,11,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMXT,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.016421794891357422,0.007366180419921875,1.2772650718688965,0.016421794891357422,0.007366180419921875,1.2772650718688965,1,True,1,11,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
RandomForestMSE,-0.90730212772414,-0.8631509685127721,root_mean_squared_error,0.22052454948425293,0.0561823844909668,20.4278404712677,0.22052454948425293,0.0561823844909668,20.4278404712677,1,True,3,11,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
ExtraTreesMSE,-0.9114337318902028,-0.8640229909818908,root_mean_squared_error,0.20499277114868164,0.0702214241027832,18.905572175979614,0.20499277114868164,0.0702214241027832,18.905572175979614,1,True,5,11,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
XGBoost,-0.9342759638327627,-0.8749536470897941,root_mean_squared_error,0.029125690460205078,0.011531591415405273,5.456708192825317,0.029125690460205078,0.011531591415405273,5.456708192825317,1,True,7,11,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMLarge,-0.9570056973598137,-0.9059712574820993,root_mean_squared_error,0.025872230529785156,0.0085906982421875,4.720449209213257,0.025872230529785156,0.0085906982421875,4.720449209213257,1,True,9,11,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
WeightedEnsemble_L2,-0.8736147291252179,-0.7976243224088978,root_mean_squared_error,0.11228728294372559,0.05797553062438965,58.010151386260986,0.00263214111328125,0.0002846717834472656,0.006090641021728516,2,True,10,12,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetFastAI,-0.8909954439271287,-0.848875800394877,root_mean_squared_error,0.05882692337036133,0.018498659133911133,4.312238454818726,0.05882692337036133,0.018498659133911133,4.312238454818726,1,True,6,12,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetTorch,-0.8931560298608999,-0.8289385372676497,root_mean_squared_error,0.01748824119567871,0.007626533508300781,6.989620208740234,0.01748824119567871,0.007626533508300781,6.989620208740234,1,True,8,12,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
CatBoost,-0.8991998097114818,-0.8196499631389951,root_mean_squared_error,0.07436609268188477,0.04221844673156738,49.68676567077637,0.07436609268188477,0.04221844673156738,49.68676567077637,1,True,4,12,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBM,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.017677783966064453,0.007607221603393555,1.2847211360931396,0.017677783966064453,0.007607221603393555,1.2847211360931396,1,True,2,12,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMXT,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.01780080795288086,0.007845878601074219,1.3276748657226562,0.01780080795288086,0.007845878601074219,1.3276748657226562,1,True,1,12,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
RandomForestMSE,-0.90730212772414,-0.8631509685127721,root_mean_squared_error,0.2525620460510254,0.06065201759338379,21.384480714797974,0.2525620460510254,0.06065201759338379,21.384480714797974,1,True,3,12,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
ExtraTreesMSE,-0.9114337318902028,-0.8640229909818908,root_mean_squared_error,0.23325467109680176,0.06916689872741699,19.410585165023804,0.23325467109680176,0.06916689872741699,19.410585165023804,1,True,5,12,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
XGBoost,-0.9342759638327627,-0.8749536470897941,root_mean_squared_error,0.03468203544616699,0.009566068649291992,5.41225528717041,0.03468203544616699,0.009566068649291992,5.41225528717041,1,True,7,12,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMLarge,-0.9570056973598137,-0.9059712574820993,root_mean_squared_error,0.027446746826171875,0.008392810821533203,3.8780856132507324,0.027446746826171875,0.008392810821533203,3.8780856132507324,1,True,9,12,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
WeightedEnsemble_L2,-0.8736147291252179,-0.7976243224088978,root_mean_squared_error,0.1234743595123291,0.06147885322570801,60.33757781982422,0.0029370784759521484,0.00034356117248535156,0.008487701416015625,2,True,10,13,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetFastAI,-0.8909954439271287,-0.848875800394877,root_mean_squared_error,0.03707385063171387,0.014885425567626953,3.715101480484009,0.03707385063171387,0.014885425567626953,3.715101480484009,1,True,6,13,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetTorch,-0.8931560298608999,-0.8289385372676497,root_mean_squared_error,0.020969152450561523,0.011055946350097656,7.194169044494629,0.020969152450561523,0.011055946350097656,7.194169044494629,1,True,8,13,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
CatBoost,-0.8991998097114818,-0.8196499631389951,root_mean_squared_error,0.07689094543457031,0.04252195358276367,51.66954708099365,0.07689094543457031,0.04252195358276367,51.66954708099365,1,True,4,13,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBM,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.02159881591796875,0.007027626037597656,1.255429983139038,0.02159881591796875,0.007027626037597656,1.255429983139038,1,True,2,13,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMXT,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.022677183151245117,0.007557392120361328,1.4653739929199219,0.022677183151245117,0.007557392120361328,1.4653739929199219,1,True,1,13,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
RandomForestMSE,-0.90730212772414,-0.8631509685127721,root_mean_squared_error,0.23460888862609863,0.05643129348754883,20.853415727615356,0.23460888862609863,0.05643129348754883,20.853415727615356,1,True,3,13,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
ExtraTreesMSE,-0.9114337318902028,-0.8640229909818908,root_mean_squared_error,0.22639226913452148,0.06236672401428223,18.85316276550293,0.22639226913452148,0.06236672401428223,18.85316276550293,1,True,5,13,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
XGBoost,-0.9342759638327627,-0.8749536470897941,root_mean_squared_error,0.027304649353027344,0.009278297424316406,4.697385787963867,0.027304649353027344,0.009278297424316406,4.697385787963867,1,True,7,13,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMLarge,-0.9570056973598137,-0.9059712574820993,root_mean_squared_error,0.02524280548095703,0.011769294738769531,4.778905153274536,0.02524280548095703,0.011769294738769531,4.778905153274536,1,True,9,13,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
