model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,run_number,eval_accuracy,eval_balanced_accuracy,eval_mcc,eval_roc_auc,eval_f1,eval_precision,eval_recall
RandomForestGini,0.9170731707317074,0.9329268292682927,accuracy,0.09100008010864258,0.05693244934082031,1.0874230861663818,0.09100008010864258,0.05693244934082031,1.0874230861663818,1,True,3,1,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
NeuralNetTorch,0.9097560975609756,0.9390243902439024,accuracy,0.02057051658630371,0.02455592155456543,2.295706033706665,0.02057051658630371,0.02455592155456543,2.295706033706665,1,True,10,1,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
NeuralNetFastAI,0.9243902439024391,0.9329268292682927,accuracy,0.03674125671386719,0.014973878860473633,3.1011016368865967,0.03674125671386719,0.014973878860473633,3.1011016368865967,1,True,8,2,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
ExtraTreesEntr,0.9243902439024391,0.9329268292682927,accuracy,0.08908653259277344,0.0777130126953125,1.474379301071167,0.08908653259277344,0.0777130126953125,1.474379301071167,1,True,7,2,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
LightGBMLarge,0.9195121951219513,0.926829268292683,accuracy,0.007868766784667969,0.005507946014404297,2.6090688705444336,0.007868766784667969,0.005507946014404297,2.6090688705444336,1,True,11,2,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
LightGBM,0.9195121951219513,0.9359756097560976,accuracy,0.011497020721435547,0.00818634033203125,1.3143556118011475,0.011497020721435547,0.00818634033203125,1.3143556118011475,1,True,2,2,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
LightGBMXT,0.9195121951219513,0.9359756097560976,accuracy,0.012763261795043945,0.005980968475341797,1.119793176651001,0.012763261795043945,0.005980968475341797,1.119793176651001,1,True,1,2,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
XGBoost,0.9195121951219513,0.9298780487804879,accuracy,0.018610715866088867,0.008339166641235352,3.3961939811706543,0.018610715866088867,0.008339166641235352,3.3961939811706543,1,True,9,2,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
CatBoost,0.9195121951219513,0.9420731707317073,accuracy,0.04600811004638672,0.04839515686035156,15.881087064743042,0.04600811004638672,0.04839515686035156,15.881087064743042,1,True,5,2,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
WeightedEnsemble_L2,0.9195121951219513,0.9420731707317073,accuracy,0.04712653160095215,0.048949480056762695,15.923752069473267,0.0011184215545654297,0.0005543231964111328,0.04266500473022461,2,True,12,2,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
ExtraTreesGini,0.9195121951219513,0.9359756097560976,accuracy,0.09841346740722656,0.05527138710021973,0.848543643951416,0.09841346740722656,0.05527138710021973,0.848543643951416,1,True,6,2,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
RandomForestEntr,0.9195121951219513,0.9329268292682927,accuracy,0.10790491104125977,0.05536675453186035,0.8378043174743652,0.10790491104125977,0.05536675453186035,0.8378043174743652,1,True,4,2,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
RandomForestGini,0.9170731707317074,0.9329268292682927,accuracy,0.10460209846496582,0.05601930618286133,1.0355963706970215,0.10460209846496582,0.05601930618286133,1.0355963706970215,1,True,3,2,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
